 0x0 : addi $v0, $0, 0      | 20020000
 0x4 : addi $t0, $0, 0      | 20080000
 0x8 : for:                 | 
 0x8 : lw $s0, 0($v0)       | 8c500000
 0xc : add $t0, $t0, $s0    | 01104020
0x10 : addi $v0, $v0, 16    | 20420010
0x14 : addi $v1, $0, 512    | 20030200
0x18 : bne $v0, $v1, for    | 1462fffb
0x1c : addi $v0, $0, 4      | 20020004
0x20 : tar:                 | 
0x20 : lw $s0, 0($v0)       | 8c500000
0x24 : add $t0, $t0, $s0    | 01104020
0x28 : addi $v0, $v0, 16    | 20420010
0x2c : addi $v1, $0, 516    | 20030204
0x30 : bne $v0, $v1, tar    | 1462fffb
0x34 : addi $v0, $0, 8      | 20020008
0x38 : nod:                 | 
0x38 : lw $s0, 0($v0)       | 8c500000
0x3c : add $t0, $t0, $s0    | 01104020
0x40 : addi $v0, $v0, 16    | 20420010
0x44 : addi $v1, $0, 520    | 20030208
0x48 : bne $v0, $v1, nod    | 1462fffb
0x4c : addi $v0, $0, 12     | 2002000c
0x50 : bai:                 | 
0x50 : lw $s0, 0($v0)       | 8c500000
0x54 : add $t0, $t0, $s0    | 01104020
0x58 : addi $v0, $v0, 16    | 20420010
0x5c : addi $v1, $0, 524    | 2003020c
0x60 : bne $v0, $v1, bai    | 1462fffb
0x64 :                      | 
0x64 :                      | 
